GEO_ID,NAME,Total_Pop_5yrsplus,Total_Pop_5yrsplus_ME,English_only,English_only_ME,Language_other_than_English,Language_other_than_English_ME,Spanish,Spanish_ME,Indo_European,Indo_European_ME,Asian_PI,Asian_PI_ME,Other,Other_ME
1400000US53033000100,"Census Tract 1, King County, Washington",7825,515,5013,507,2812,593,803,381,344,162,785,218,880,403
1400000US53033000200,"Census Tract 2, King County, Washington",8109,388,5686,471,2423,432,754,245,546,295,856,216,267,187
1400000US53033000300,"Census Tract 3, King County, Washington",2824,203,2302,212,522,175,39,36,80,60,350,168,53,62
1400000US53033000401,"Census Tract 4.01, King County, Washington",6809,538,5208,526,1601,602,241,143,77,79,611,369,672,488
1400000US53033000402,"Census Tract 4.02, King County, Washington",5124,361,4386,399,738,305,118,104,224,207,396,190,0,17
1400000US53033000500,"Census Tract 5, King County, Washington",2952,209,2645,226,307,121,50,52,107,54,142,86,8,14
1400000US53033000600,"Census Tract 6, King County, Washington",7623,481,5390,491,2233,449,649,267,482,241,802,342,300,176
1400000US53033000700,"Census Tract 7, King County, Washington",5109,465,3340,517,1769,394,541,340,112,79,754,186,362,229
1400000US53033000800,"Census Tract 8, King County, Washington",2725,154,2176,201,549,177,89,60,111,83,335,154,14,21
1400000US53033000900,"Census Tract 9, King County, Washington",2050,133,1604,139,446,138,54,33,159,73,172,78,61,91
1400000US53033001000,"Census Tract 10, King County, Washington",1940,154,1683,164,257,83,41,27,74,49,118,52,24,27
1400000US53033001100,"Census Tract 11, King County, Washington",2434,180,1855,170,579,166,95,83,34,30,368,129,82,74
1400000US53033001200,"Census Tract 12, King County, Washington",6663,418,5097,454,1566,332,121,90,516,232,661,214,268,198
1400000US53033001300,"Census Tract 13, King County, Washington",4369,325,3025,367,1344,286,485,224,132,106,593,161,134,117
1400000US53033001400,"Census Tract 14, King County, Washington",5353,511,4776,542,577,318,94,79,45,54,419,300,19,30
1400000US53033001500,"Census Tract 15, King County, Washington",2626,132,2359,171,267,107,10,16,82,50,134,83,41,54
