"GEO_ID","NAME","Total_Households","Total_Households_ME","White_Households","White_Households_ME","Black_Households","Black_Households_ME","AIAN_Households","AIAN_Households_ME","Asian_Households","Asian_Households_ME","Hawaiian_PI_Households","Hawaiian_PI_Households_ME","Other_alone_Households","Other_alone_Households_ME","X2ormore_Households","X2ormore_Households_ME","HispanicorLatino_Households","HispanicorLatino_anyrace_Households_ME","White_not_HispanicorLatino_Households","White_not_HispanicorLatino_Households_ME","X15_24yrs_Households","X15_24yrs_Households_ME","X25_44yrs_Households","X25_44yrs_Households_ME","X45_64yrs_Households","X45_64yrs_Households_ME","X65_plusyrs_Households","X65_plusyrs_Households_ME","X2person_Households","X2person_Households_ME","X3person_Households","X3person_Households_ME","X4person_Households","X4person_Households_ME","X5person_Households","X5person_Households_ME","X6person_Households","X6person_Households_ME","X7ormoreperson_Households","X7ormoreperson_Households_ME","Noearners_Households","Noearners_Households_ME","X1earner_Households","X1earner_Households_ME","X2earner_Households","X2earner_Households_ME","X3ormoreearners_Households","X3ormoreearners_Households_ME","Nonfamily_Households","Nonfamily_Households_ME","Nonfamily_female_Households","Nonfamily_female_Households_ME","Nonfamily_male_Households","Nonfamily_male_Households_ME","Total_Households_Income","Total_Households_Income_ME","White_Households_Income","White_Households_Income_ME","Black_Households_Income","Black_Households_Income_ME","AIAN_Households_Income","AIAN_Households_Income_ME","Asian_Households_Income","Asian_Households_Income_ME","Hawaiian_PI_Households_Income","Hawaiian_PI_Households_Income_ME","Other_alone_Households_Income","Other_alone_Households_Income_ME","X2ormore_Households_Income","X2ormore_Households_Income_ME","HispanicorLatino_Households_Income","HispanicorLatino_Households_Income_ME","White_not_HispanicorLatino_Households_Income","White_not_HispanicorLatino_Households_Income_ME","X15_24yrs_Households_Income","X15_24yrs_Households_Income_ME","X25_44yrs_Households_Income","X25_44yrs_Households_Income_ME","X45_64yrs_Households_Income","X45_64yrs_Households_Income_ME","X65_plusyrs_Households_Income","X65_plusyrs_Households_Income_ME","X2person_Households_Income","X2person_Households_Income_ME","X3person_Households_Income","X3person_Households_Income_ME","X4person_Households_Income","X4person_Households_Income_ME","X5person_Households_Income","X5person_Households_Income_ME","X6person_Households_Income","X6person_Households_Income_ME","X7ormoreperson_Households_Income","X7ormoreperson_Households_Income_ME","Noearners_Households_Income","Noearners_Households_Income_ME","X1earner_Households_Income","X1earner_Households_Income_ME","X2earner_Households_Income","X2earner_Households_Income_ME","X3ormoreearners_Households_Income","X3ormoreearners_Households_Income_ME","Nonfamily_Households_Income","Nonfamily_Households_Income_ME","Nonfamily_female_Households_Income","Nonfamily_female_Households_Income_ME","Nonfamily_male_Households_Income","Nonfamily_male_Households_Income_ME","Household_Size","FPL_Threshold","Above_FPL"
"1400000US53033000100","Census Tract 1, King County, Washington",3970,215,2355,258,664,216,13,20,549,140,0,17,130,100,259,132,289,141,2285,258,260,100,1704,265,1183,220,823,138,910,207,616,224,169,86,134,98,31,33,14,23,204,85,518,152,948,189,204,66,2096,248,923,173,1173,212,"55143","5847","57259","8011","36062","3833","-","**","58530","12092","-","**","65691","37620","56836","16723","66941","36624","58381","8778","24943","4296","67955","18221","39814","17833","48615","11699","83125","37065","50000","26254","144236","71500","109340","15662","-","**","-","**","45556","36838","37400","20725","99602","12406","206300","75686","39470","6750","35914","12442","42375","9671",2,20440,"Yes"
"1400000US53033000200","Census Tract 2, King County, Washington",3757,119,2845,215,214,86,0,17,426,104,0,17,115,88,157,86,296,104,2649,195,170,113,1451,160,1331,181,805,121,1107,171,493,166,389,126,103,66,24,40,0,17,269,103,649,184,1030,176,168,94,1641,198,774,204,867,158,"77463","11351","78668","15313","49891","10618","-","**","104375","58018","-","**","90982","2719","71691","50064","77500","18592","86179","16491","77361","28229","100268","27943","87521","21770","67637","16676","79083","28364","93603","36203","109688","65109","77888","10869","-","**","-","**","55781","25803","65699","16789","126641","11424","88056","45567","61860","8164","54146","7864","78505","20601",2,20440,"Yes"
"1400000US53033000300","Census Tract 3, King County, Washington",1172,75,860,93,48,32,0,12,201,75,0,12,12,20,51,34,31,27,850,93,69,45,499,89,452,56,152,40,268,77,208,71,145,38,31,21,0,12,14,17,27,24,151,63,395,76,93,54,506,100,242,80,264,78,"100917","10408","102813","6021","-","**","-","**","75114","65429","-","**","-","**","-","**","-","**","103073","6373","76161","49700","121058","32655","97917","38056","56618","52005","101429","27042","116667","21333","149250","55294","145694","63950","-","**","-","**","88594","39963","82639","14138","131058","14598","145729","45430","56962","15503","56346","4423","71250","48350",2,20440,"No"
"1400000US53033000401","Census Tract 4.01, King County, Washington",4019,159,2624,315,611,182,0,17,495,231,0,17,47,38,242,179,167,71,2519,299,251,119,1203,188,1294,221,1271,194,738,185,241,176,248,140,89,77,0,17,0,17,157,108,357,144,708,208,94,87,2703,267,1787,283,916,242,"32877","5813","34563","6211","30735","8088","-","**","44050","14919","-","**","-","**","-","**","-","**","34345","6040","30698","8520","52571","13306","48841","25106","21003","6328","54954","32200","95578","38347","130267","51154","-","**","-","**","-","**","-","**","43607","9641","100875","9504","-","**","25501","2757","21621","7690","35203","16729",2,20440,"Yes"
"1400000US53033000402","Census Tract 4.02, King County, Washington",2398,110,2075,163,65,81,0,17,149,72,0,17,0,17,109,91,67,67,2008,173,65,66,889,107,709,142,735,107,409,134,374,125,148,111,69,50,0,17,0,17,84,48,270,124,618,127,28,33,1398,172,739,151,659,147,"72150","13709","74219","13580","-","**","-","**","123304","93614","-","**","-","**","-","**","46580","8713","77759","10490","-","**","78961","33141","108990","35278","47108","4821","73490","27119","152000","58759","250,000+","***","-","**","-","**","-","**","46786","34891","61136","15479","171618","68211","-","**","48778","8864","37917","12234","63664","14117",2,20440,"Yes"
"1400000US53033000500","Census Tract 5, King County, Washington",1315,75,1175,87,0,12,0,12,89,44,0,12,0,12,51,38,36,31,1139,89,0,12,226,56,585,67,504,77,490,65,213,72,194,43,25,24,0,12,4,10,102,42,291,79,464,87,69,41,389,90,204,60,185,71,"148906","17245","150694","17463","-","**","-","**","-","**","-","**","-","**","-","**","223824","74279","147969","19618","-","**","177500","95992","193194","25158","106875","16050","135500","36205","210729","19648","197500","58359","207321","146705","-","**","-","**","101875","33053","124886","31328","235125","38594","182125","65383","57019","37429","52500","31180","-","**",2,20440,"No"
"1400000US53033000600","Census Tract 6, King County, Washington",3374,153,2347,206,282,131,52,48,397,131,0,17,181,99,115,89,259,111,2277,208,131,84,1454,227,1033,172,756,107,836,162,380,139,474,131,97,76,16,27,0,17,243,93,542,158,905,173,113,75,1571,204,899,207,672,173,"77269","11592","83680","6767","82292","54611","-","**","88897","45253","-","**","43896","1048","46074","1007","44381","6716","83644","6751","40893","24165","82849","20200","93041","10452","56029","12362","85909","13661","66944","40189","-","**","122875","7396","-","**","-","**","58672","21729","52174","12696","118125","36564","123542","28759","62716","19185","56797","15901","72328","25113",2,20440,"Yes"
"1400000US53033000700","Census Tract 7, King County, Washington",2310,125,1548,153,227,97,0,17,408,131,0,17,74,61,53,50,207,106,1415,159,143,88,967,210,789,187,411,127,674,182,338,156,206,90,71,61,0,17,0,17,133,99,280,104,747,173,129,110,1021,198,473,143,548,160,"64310","11767","77105","15278","40202","7755","-","**","60726","22947","-","**","-","**","46840","1401","80255","10069","69844","30391","-","**","81875","23945","100061","59568","34938","18912","75809","32461","77381","11703","113471","18224","143566","46912","-","**","-","**","-","**","64914","62443","103456","17597","81042","15800","45047","7441","41797","11717","52031","31892",2,20440,"Yes"
"1400000US53033000800","Census Tract 8, King County, Washington",1126,30,895,70,40,31,0,12,113,63,0,12,0,12,78,57,12,19,883,70,41,33,382,71,465,69,238,42,353,85,202,72,130,54,27,30,17,24,0,12,53,31,163,73,447,83,66,44,397,79,172,62,225,67,"102500","18804","103594","15696","-","**","-","**","-","**","-","**","-","**","-","**","-","**","103219","16404","84375","52670","128333","58871","104492","14970","74286","36242","120781","41716","84464","36742","159231","133899","-","**","-","**","-","**","84531","20650","90446","22013","141683","38690","195313","106650","53977","27208","50192","27306","64063","43538",2,20440,"No"
"1400000US53033000900","Census Tract 9, King County, Washington",898,47,709,61,47,45,0,12,111,27,0,12,8,9,23,19,23,16,699,62,5,7,180,35,428,56,285,40,373,59,148,53,99,33,25,17,9,10,0,12,110,41,175,53,304,47,65,27,244,54,151,45,93,32,"147750","17447","140972","23256","-","**","-","**","225625","98521","-","**","-","**","-","**","-","**","140972","23934","-","**","173214","29343","183750","42906","90781","26046","122292","23318","228750","71837","207321","110301","239107","44896","-","**","-","**","69583","38511","193250","58411","205714","45845","182250","129172","85938","23810","87031","24774","81042","69440",2,20440,"No"
