GEO_ID,NAME,Total_Pop,Total_Pop_ME,Percent_Below_Poverty,Percent_Below_Poverty_ME
1400000US53033000100,"Census Tract 1, King County, Washington",8195,559,12.2,3.7
1400000US53033000200,"Census Tract 2, King County, Washington",8770,411,7,2.9
1400000US53033000300,"Census Tract 3, King County, Washington",2944,199,7.1,4.2
1400000US53033000401,"Census Tract 4.01, King County, Washington",7130,584,18.7,4.9
1400000US53033000402,"Census Tract 4.02, King County, Washington",4960,343,6,2.7
1400000US53033000500,"Census Tract 5, King County, Washington",3126,209,2.5,1.3
1400000US53033000600,"Census Tract 6, King County, Washington",8189,463,9.5,4
1400000US53033000700,"Census Tract 7, King County, Washington",5446,465,14.6,6.1
1400000US53033000800,"Census Tract 8, King County, Washington",2786,146,9,3.8
1400000US53033000900,"Census Tract 9, King County, Washington",2143,137,4,2
1400000US53033001000,"Census Tract 10, King County, Washington",2036,158,12,4.4
1400000US53033001100,"Census Tract 11, King County, Washington",2580,176,9,3.4
1400000US53033001200,"Census Tract 12, King County, Washington",6924,410,15.5,4.4
1400000US53033001300,"Census Tract 13, King County, Washington",4660,323,9.4,3
1400000US53033001400,"Census Tract 14, King County, Washington",5664,514,7.4,5.9
1400000US53033001500,"Census Tract 15, King County, Washington",2733,147,7.1,3.3
1400000US53033001600,"Census Tract 16, King County, Washington",4760,267,3.3,1.5
1400000US53033001701,"Census Tract 17.01, King County, Washington",4218,298,10.7,6
1400000US53033001702,"Census Tract 17.02, King County, Washington",4994,349,7.9,4
1400000US53033001800,"Census Tract 18, King County, Washington",4952,445,9.5,4.8
1400000US53033001900,"Census Tract 19, King County, Washington",5068,210,8.7,2.6
1400000US53033002000,"Census Tract 20, King County, Washington",3853,271,10.2,4.2
1400000US53033002100,"Census Tract 21, King County, Washington",4413,226,7.9,3.2
1400000US53033002200,"Census Tract 22, King County, Washington",5840,319,6.9,3.8
1400000US53033002400,"Census Tract 24, King County, Washington",3382,246,6.8,2.7
1400000US53033002500,"Census Tract 25, King County, Washington",3451,304,7.3,3.3
1400000US53033002600,"Census Tract 26, King County, Washington",5377,345,11.4,4.3
1400000US53033002700,"Census Tract 27, King County, Washington",6374,463,6.1,2.6
1400000US53033002800,"Census Tract 28, King County, Washington",5144,318,5.8,3.4
1400000US53033002900,"Census Tract 29, King County, Washington",4834,287,5.9,4.8
1400000US53033003000,"Census Tract 30, King County, Washington",6317,367,3.9,2.4
