"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US53033000100","Census Tract 1, King County, Washington","8202","559","4537","478","1396","433","39","37","1202","248","0","17","272","196","756","349","65","74","691","303",
"1400000US53033000200","Census Tract 2, King County, Washington","8779","412","6000","549","613","261","36","58","1168","232","0","17","387","291","575","201","17","28","558","205",
"1400000US53033000300","Census Tract 3, King County, Washington","2953","199","2042","174","140","85","0","12","484","155","0","12","27","23","260","136","12","19","248","133",
"1400000US53033000401","Census Tract 4.01, King County, Washington","7145","582","4487","630","1201","532","0","17","970","418","0","17","68","53","419","189","0","17","419","189",
"1400000US53033000402","Census Tract 4.02, King County, Washington","5190","371","4280","430","71","83","0","17","465","194","23","31","17","27","334","186","0","17","334","186",
"1400000US53033000500","Census Tract 5, King County, Washington","3143","213","2709","267","24","25","0","12","278","143","0","12","0","12","132","95","0","12","132","95",
"1400000US53033000600","Census Tract 6, King County, Washington","8203","465","5076","538","812","243","70","67","1094","355","0","17","668","304","483","179","49","56","434","187",
"1400000US53033000700","Census Tract 7, King County, Washington","5452","465","3430","491","636","287","63","82","997","254","0","17","156","110","170","95","45","71","125","88",
"1400000US53033000800","Census Tract 8, King County, Washington","2839","147","2137","221","98","65","0","12","412","195","8","19","0","12","184","103","0","12","184","103",
"1400000US53033000900","Census Tract 9, King County, Washington","2161","137","1611","135","113","114","5","7","323","64","9","13","28","27","72","36","25","27","47","23",
"1400000US53033001000","Census Tract 10, King County, Washington","2036","158","1456","135","163","105","4","6","219","78","0","12","9","10","185","66","7","10","178","66",
"1400000US53033001100","Census Tract 11, King County, Washington","2580","176","1979","162","7","12","8","13","367","127","18","31","72","81","129","66","0","12","129","66",
"1400000US53033001200","Census Tract 12, King County, Washington","6984","435","4530","533","696","330","29","34","1094","303","0","17","127","107","508","201","27","45","481","200",
"1400000US53033001300","Census Tract 13, King County, Washington","4698","331","2817","382","289","195","124","137","894","208","0","12","294","213","280","118","1","2","279","118",
"1400000US53033001400","Census Tract 14, King County, Washington","5664","514","4455","511","52","52","71","74","416","161","13","28","108","89","549","289","0","17","549","289",
"1400000US53033001500","Census Tract 15, King County, Washington","2733","147","2271","205","56","72","7","12","213","84","0","12","0","12","186","113","20","32","166","107",
"1400000US53033001600","Census Tract 16, King County, Washington","4769","268","3857","360","29","29","16","18","582","260","0","12","37","34","248","106","9","15","239","104",
"1400000US53033001701","Census Tract 17.01, King County, Washington","4218","298","3054","354","341","178","9","15","361","92","24","37","30","40","399","249","14","19","385","249",
"1400000US53033001702","Census Tract 17.02, King County, Washington","5111","363","3800","398","251","191","61","62","516","167","0","17","177","108","306","143","0","17","306","143",
"1400000US53033001800","Census Tract 18, King County, Washington","4980","460","3880","392","37","57","0","12","643","233","31","35","66","54","323","148","0","12","323","148",
"1400000US53033001900","Census Tract 19, King County, Washington","5079","211","3737","251","166","90","15","24","822","176","0","17","35","29","304","108","76","53","228","83",
"1400000US53033002000","Census Tract 20, King County, Washington","3854","271","3129","290","54","76","9","13","431","139","0","12","31","35","200","78","18","20","182","73",
"1400000US53033002100","Census Tract 21, King County, Washington","4453","230","3600","206","73","59","6","12","593","107","0","12","45","41","136","89","0","12","136","89",
"1400000US53033002200","Census Tract 22, King County, Washington","5891","325","4509","417","0","17","19","30","854","241","10","17","14","21","485","204","33","37","452","199",
"1400000US53033002400","Census Tract 24, King County, Washington","3391","245","2709","214","12","20","0","12","488","190","10","15","41","52","131","70","10","17","121","67",
"1400000US53033002500","Census Tract 25, King County, Washington","3451","304","2768","236","40","39","10","17","345","104","0","12","0","12","288","149","0","12","288","149",
"1400000US53033002600","Census Tract 26, King County, Washington","5377","345","4236","310","38","37","0","17","516","143","0","17","161","249","426","138","27","29","399","136",
"1400000US53033002700","Census Tract 27, King County, Washington","6393","466","4879","400","74","64","0","17","777","321","0","17","219","222","444","228","15","25","429","226",
"1400000US53033002800","Census Tract 28, King County, Washington","5144","318","4011","401","182","175","0","17","379","123","0","17","33","39","539","289","0","17","539","289",
"1400000US53033002900","Census Tract 29, King County, Washington","4856","286","4174","311","1","5","1","5","298","199","13","20","82","47","287","174","22","25","265","169",
"1400000US53033003000","Census Tract 30, King County, Washington","6328","367","5325","365","2","4","0","17","382","194","17","27","216","259","386","169","20","33","366","165",
"1400000US53033003100","Census Tract 31, King County, Washington","6551","259","5945","250","0","17","97","140","287","159","0","17","0","17","222","128","0","17","222","128",
"1400000US53033003200","Census Tract 32, King County, Washington","9140","637","7951","512","54","64","25","42","423","243","0","17","137","138","550","220","0","17","550","220",
"1400000US53033003300","Census Tract 33, King County, Washington","8205","492","6655","469","132","134","56","64","622","169","0","17","92","91","648","252","0","17","648","252",
"1400000US53033003400","Census Tract 34, King County, Washington","3604","239","3134","246","54","56","0","12","223","100","0","12","24","36","169","81","33","31","136","77",
"1400000US53033003500","Census Tract 35, King County, Washington","4269","196","3625","243","36","31","2","4","339","132","14","19","8","14","245","98","0","12","245","98",
"1400000US53033003600","Census Tract 36, King County, Washington","7594","454","5849","484","109","94","0","17","992","252","0","17","183","143","461","184","22","36","439","178",
"1400000US53033003800","Census Tract 38, King County, Washington","2471","150","1826","155","43","38","1","4","376","123","0","12","42","52","183","74","0","12","183","74",
"1400000US53033003900","Census Tract 39, King County, Washington","3097","186","2467","172","21","32","45","55","363","92","0","12","20","22","181","72","0","12","181","72",
"1400000US53033004000","Census Tract 40, King County, Washington","3236","234","2325","311","332","184","0","12","302","83","27","42","22","37","228","114","0","12","228","114",
"1400000US53033004100","Census Tract 41, King County, Washington","8102","443","6548","401","97","114","4","9","942","251","23","37","1","3","487","223","14","22","473","217",
"1400000US53033004200","Census Tract 42, King County, Washington","8100","451","6891","368","151","162","36","38","768","177","0","17","40","56","214","109","24","38","190","110",
"1400000US53033004301","Census Tract 43.01, King County, Washington","4047","268","2836","289","82","58","26","41","726","248","0","12","85","53","292","145","22","33","270","141",
"1400000US53033004302","Census Tract 43.02, King County, Washington","4046","419","2302","331","116","77","0","12","1211","330","0","12","33","33","384","140","69","60","315","128",
"1400000US53033004400","Census Tract 44, King County, Washington","7664","832","5698","737","267","199","0","17","1035","326","0","17","216","193","448","183","49","43","399","182",
"1400000US53033004500","Census Tract 45, King County, Washington","3388","401","2485","278","58","54","6","10","479","397","0","12","121","103","239","117","9","14","230","116",
"1400000US53033004600","Census Tract 46, King County, Washington","3627","203","3250","188","49","62","20","21","217","79","0","12","18","21","73","45","20","32","53","33",
"1400000US53033004700","Census Tract 47, King County, Washington","10303","619","8205","680","176","177","0","19","1249","421","0","19","57","68","616","241","0","19","616","241",
"1400000US53033004800","Census Tract 48, King County, Washington","5415","333","4495","391","45","73","29","47","416","150","0","17","74","100","356","230","0","17","356","230",
"1400000US53033004900","Census Tract 49, King County, Washington","7489","605","6469","654","15","25","18","24","520","225","0","17","111","81","356","151","61","98","295","124",
"1400000US53033005000","Census Tract 50, King County, Washington","4404","551","3434","427","270","279","16","26","344","119","26","43","40","44","274","154","0","12","274","154",
"1400000US53033005100","Census Tract 51, King County, Washington","3687","236","3066","230","116","135","8","14","228","58","8","13","71","67","190","79","6","11","184","78",
"1400000US53033005200","Census Tract 52, King County, Washington","6916","659","3613","502","274","197","0","17","2418","475","17","30","93","117","501","195","12","20","489","195",
"1400000US53033005301","Census Tract 53.01, King County, Washington","8829","673","3613","576","358","141","180","137","3759","507","23","27","151","91","745","214","47","40","698","215",
"1400000US53033005302","Census Tract 53.02, King County, Washington","5926","582","2699","362","226","131","35","39","2220","307","34","43","83","64","629","143","72","79","557","143",
"1400000US53033005400","Census Tract 54, King County, Washington","6417","406","5004","419","141","112","0","17","779","222","0","17","27","32","466","189","13","22","453","186",
"1400000US53033005600","Census Tract 56, King County, Washington","7038","384","6017","359","35","39","13","21","441","127","96","162","73","88","363","171","23","37","340","178",
