"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino","Margin of Error!!Total:!!Not Hispanic or Latino","Estimate!!Total:!!Hispanic or Latino","Margin of Error!!Total:!!Hispanic or Latino",
"1400000US53033000100","Census Tract 1, King County, Washington","8202","559","7330","552","872","459",
"1400000US53033000200","Census Tract 2, King County, Washington","8779","412","7826","509","953","282",
"1400000US53033000300","Census Tract 3, King County, Washington","2953","199","2810","215","143","70",
"1400000US53033000401","Census Tract 4.01, King County, Washington","7145","582","6772","551","373","208",
"1400000US53033000402","Census Tract 4.02, King County, Washington","5190","371","5045","388","145","123",
"1400000US53033000500","Census Tract 5, King County, Washington","3143","213","3070","214","73","55",
"1400000US53033000600","Census Tract 6, King County, Washington","8203","465","7337","496","866","318",
"1400000US53033000700","Census Tract 7, King County, Washington","5452","465","4760","489","692","320",
"1400000US53033000800","Census Tract 8, King County, Washington","2839","147","2817","146","22","27",
"1400000US53033000900","Census Tract 9, King County, Washington","2161","137","2077","142","84","46",
"1400000US53033001000","Census Tract 10, King County, Washington","2036","158","2007","158","29","22",
"1400000US53033001100","Census Tract 11, King County, Washington","2580","176","2439","176","141","88",
"1400000US53033001200","Census Tract 12, King County, Washington","6984","435","6452","428","532","220",
"1400000US53033001300","Census Tract 13, King County, Washington","4698","331","3973","298","725","189",
"1400000US53033001400","Census Tract 14, King County, Washington","5664","514","5512","508","152","62",
"1400000US53033001500","Census Tract 15, King County, Washington","2733","147","2714","149","19","22",
"1400000US53033001600","Census Tract 16, King County, Washington","4769","268","4582","280","187","94",
"1400000US53033001701","Census Tract 17.01, King County, Washington","4218","298","3881","250","337","282",
"1400000US53033001702","Census Tract 17.02, King County, Washington","5111","363","4623","381","488","235",
"1400000US53033001800","Census Tract 18, King County, Washington","4980","460","4689","477","291","159",
"1400000US53033001900","Census Tract 19, King County, Washington","5079","211","4884","227","195","121",
"1400000US53033002000","Census Tract 20, King County, Washington","3854","271","3720","277","134","73",
"1400000US53033002100","Census Tract 21, King County, Washington","4453","230","4237","264","216","120",
"1400000US53033002200","Census Tract 22, King County, Washington","5891","325","5622","357","269","146",
"1400000US53033002400","Census Tract 24, King County, Washington","3391","245","3265","263","126","102",
"1400000US53033002500","Census Tract 25, King County, Washington","3451","304","3331","328","120","97",
"1400000US53033002600","Census Tract 26, King County, Washington","5377","345","5053","380","324","263",
"1400000US53033002700","Census Tract 27, King County, Washington","6393","466","6102","506","291","235",
"1400000US53033002800","Census Tract 28, King County, Washington","5144","318","4973","348","171","119",
"1400000US53033002900","Census Tract 29, King County, Washington","4856","286","4631","297","225","124",
"1400000US53033003000","Census Tract 30, King County, Washington","6328","367","5954","336","374","258",
"1400000US53033003100","Census Tract 31, King County, Washington","6551","259","6102","367","449","257",
"1400000US53033003200","Census Tract 32, King County, Washington","9140","637","8599","660","541","310",
"1400000US53033003300","Census Tract 33, King County, Washington","8205","492","7652","534","553","178",
"1400000US53033003400","Census Tract 34, King County, Washington","3604","239","3470","248","134","83",
"1400000US53033003500","Census Tract 35, King County, Washington","4269","196","4068","221","201","125",
"1400000US53033003600","Census Tract 36, King County, Washington","7594","454","7323","504","271","162",
"1400000US53033003800","Census Tract 38, King County, Washington","2471","150","2395","162","76","63",
"1400000US53033003900","Census Tract 39, King County, Washington","3097","186","3012","195","85","60",
"1400000US53033004000","Census Tract 40, King County, Washington","3236","234","3184","236","52","46",
"1400000US53033004100","Census Tract 41, King County, Washington","8102","443","7862","439","240","147",
"1400000US53033004200","Census Tract 42, King County, Washington","8100","451","7830","463","270","148",
"1400000US53033004301","Census Tract 43.01, King County, Washington","4047","268","3754","294","293","147",
"1400000US53033004302","Census Tract 43.02, King County, Washington","4046","419","3885","434","161","85",
"1400000US53033004400","Census Tract 44, King County, Washington","7664","832","6998","743","666","284",
"1400000US53033004500","Census Tract 45, King County, Washington","3388","401","3166","392","222","96",
